"URL","DATUM_ZAPISU","DATUM_VYMAZU"
"zdraviodslovanu.online","10.03.2022","02.01.2023"
"lekarnaharmonie.cz","10.03.2022","02.01.2023"
"kamagralevne.net","10.03.2022",
"kamagra-trade.cz","10.03.2022","14.09.2023"
"kamagraprodej.cz","10.03.2022",
"kamagralove.cz","10.03.2022","02.01.2023"
"lekarna-manesova.cz","10.03.2022",
"koupit-pilulky.cz","10.03.2022",
"viagra-cialis-levitra.cz","10.03.2022",
"armodafinil.cz","10.03.2022",
"czmeds.cz","10.03.2022",
"anemicfestival.cz","10.03.2022",
"prodej-kamagra.cz","10.03.2022",
"med-praha24h.net","10.03.2022",
"lekarnaceska.cz","10.03.2022",
"lekarnuonline.com","10.03.2022",
"kamagra-obchod.cz","10.03.2022",
"kamagraprodej.net","10.03.2022",
"kamagra-eshop.cz","10.03.2022",
"hot-pharm.com","10.03.2022",
"kamagra-4you.cz","10.03.2022","14.09.2023"
"farmazon.cz","10.03.2022",
"viagra-obchod.cz","17.03.2022",
"eshopkamagra.cz","17.03.2022",
"kamagrastore.cz","17.03.2022",
"kamagra-online.cz","17.03.2022",
"24-pharm.com","24.03.2022",
"cz-lekarna.com","24.03.2022",
"farma-europe.com","24.03.2022",
"buypillsonlinenorx.com","30.03.2022",
"cheska-lekarna.com","30.03.2022",
"edlekarna.com","30.03.2022",
"viagrakoupit.net","30.03.2022",
"kamagra-trade.eu","30.03.2022",
"czlekarna.com","07.04.2022",
"farmaed.com","07.04.2022",
"kamagra-viagra-cialis.cz","07.04.2022",
"rychle-hubnuti.to","19.04.2022",
"lekarna-cz.net","19.04.2022",
"viagra-bez-receptu.com","19.04.2022",
"modafinil-predaj.online","19.04.2022",
"kamagra-levne.online","19.04.2022",
"zhubni.eu","21.04.2022",
"ceskarna.net","21.04.2022",
"evo-pharmacy.com","21.04.2022",
"europe-pharm.com","21.04.2022",
"nejlepsi-lekarna.cz","21.04.2022",
"lekarna-protebe.cz","21.04.2022",
"viagra-cialis-kamagra.cz","21.04.2022",
"levne-generika.cz","21.04.2022",
"kamagra-kamagra.cz","21.04.2022",
"lekarnavceske.com","28.04.2022",
"medpillstore.net","28.04.2022",
"moje-lekarna.com","28.04.2022",
"nejlevnejsigenerika.to","28.04.2022",
"lekarna-eshop.com","28.04.2022",
"lekarnahelios.cz","13.05.2022",
"superocas.com","13.05.2022",
"smartpills.io","13.05.2022",
"specialnilekarna.com","13.05.2022",
"vlastnilekarna.com","13.05.2022",
"uniquepharmaceuticals.com","13.05.2022",
"365-pharm.com","13.05.2022",
"helpinghand-pharmacy.com","13.05.2022",
"kamagraeu.net","13.05.2022",
"onlinedrugsnorx.com","13.05.2022",
"czechtab.com","13.05.2022",
"onlinepharmshop.com","18.05.2022",
"pharmrx-1.com","18.05.2022",
"lekarna-bezreceptu.com","18.05.2022",
"trustedmedstore24.com","18.05.2022",
"koupitedpilulky.com","18.05.2022",
"vardenafil-lek.com","26.05.2022",
"freeviagranow.com","26.05.2022",
"prodejbezreceptu.com","26.05.2022",
"trustedrxsolutions.com","26.05.2022",
"tvoje-kamagra.net","26.05.2022",
"onlinemedshelp.com","26.05.2022",
"kamagra-slovakia.sk","02.06.2022",
"genericeupills.com","02.06.2022",
"lekaren-bezpredpisu.com","02.06.2022",
"med-bratislava.com","02.06.2022",
"kamagralove.com","02.06.2022",
"osgear.ws","09.06.2022",
"kamagra-trade.online","09.06.2022",
"cs.russianpharmacy.net","09.06.2022",
"sale-meds.com","09.06.2022",
"ivermectin-apotheke.com","22.06.2022",
"globalpharmacystore.com","22.06.2022",
"themedicinestoreonline.com","22.06.2022",
"family-drugs.net","22.06.2022",
"reliablehealthcareprovider.com","22.06.2022",
"ed-onlinedrugstore.com","01.07.2022",
"web-md.online","01.07.2022",
"rx-qualityshop.com","01.07.2022",
"kamagris.com","01.07.2022",
"canadasale365.com","01.07.2022",
"lekarenonline.com","13.07.2022",
"novapharmacist.com","13.07.2022",
"online-health-pharm.com","13.07.2022",
"drugsline.org","13.07.2022",
"euro-pharm24.com","13.07.2022",
"cali-ljekarna.com","19.07.2022",
"herbsandmeds.com","19.07.2022",
"europa-med.com","19.07.2022",
"kamagra-original.sk","19.07.2022",
"edlekarnapilulky.cz","19.07.2022",
"kamagrasuper.cz","29.07.2022",
"eshopkamagra.sk","29.07.2022",
"viagraeshop.sk","29.07.2022",
"czlekarna247.com","29.07.2022",
"fasteastbv.com","29.07.2022",
"premier-dream.co","29.07.2022",
"casadelamedicina.es","29.07.2022",
"globalpharmacycare.com","29.07.2022",
"rx4europe.com","29.07.2022",
"ev-farm.com","29.07.2022",
"eshop-kamagra.cz","17.08.2022",
"kamagra-ihned.online","17.08.2022",
"kamagra-gold.online","17.08.2022",
"specialty-pharma.biz","17.08.2022",
"kamagra-levne-nadobirku.online","17.08.2022",
"tolleapotheke101.com","17.08.2022",
"origineelmeds.com","17.08.2022",
"101apotheek.com","17.08.2022",
"lacne-generika.sk","17.08.2022",
"kamagra-nadobirku.online","13.10.2022",
"kamagra-na-dobirku.online","13.10.2022",
"cialis-levne.online","13.10.2022",
"kamagra.blue","13.10.2022",
"koupim-kamagru-viagru-cialis.online","13.10.2022",
"kamagra-levne.cz","03.11.2022",
"kamagra-viagra-cialis.online","03.11.2022",
"viagra-bez-predpisu.online","03.11.2022",
"nejlepsi-lekarna.to","03.11.2022",
"nejlevnejsigenerika.co","03.11.2022",
"123kamagra.net","03.11.2022",
"lekarenslovensko.com","03.11.2022",
"kamagralove.net","03.11.2022",
"rosegolds.cz","11.11.2022",
"kamagra-pro.net","02.01.2023",
"kamagra.love","12.05.2023",
"kamagra-shop.sk","23.05.2023",
"kamagra-obchod.sk","23.05.2023",
"kamagrapro.site","23.05.2023",
"kamagra.trade","15.06.2023",
"tabletybezreceptu.com","11.07.2023",
"mojekamagra.shop","11.07.2023",
"express-meds.net","11.07.2023",
"kamagra1.cz","26.07.2023",
"erexe.cz","26.07.2023",
"kamagra-pro.com","14.09.2023",
"chcierekci.shop","06.10.2023",
"superpotence.shop","06.10.2023",
"silnymuz.com","06.10.2023",
"leky-na-potenci.com","06.10.2023",
"kamagra-prodej.cz","06.10.2023",
"kamagrahned.cz","06.10.2023",
"onlinehealthworldtrust.com","06.10.2023",
"lekarenjedna.com","06.10.2023",
"kamagralove.shop","06.10.2023",
"superkamagra.cz","20.10.2023",
"expresni-lekarna.com","20.10.2023",
"lekarnanapotenci.cz","20.10.2023",
"kamagra-official.com","20.10.2023",
"mojakamagra.sk","20.10.2023",
"eshop-kamagra.sk","20.10.2023",
"123kamagra.cz","20.10.2023",
"kamagra-viagra-cialis.sk","20.10.2023",
"kamagrapharmaceut.sk","20.10.2023",
"viagraobchod.cz","20.10.2023",
"otkph.com","20.10.2023",
"kamagrapro.store","20.10.2023",
"viagra-cialis-kamagra.com","20.10.2023",
"viagra-cialis-a-potence.cz","20.10.2023",
"24med.net","20.10.2023",
"365pills.com","20.10.2023",
"mojekamagra.com","29.12.2023",
"lekarnapromuze.com","31.01.2024",
"potratovapilulka.com","14.02.2024",
"kamagrapro.org","15.03.2024",
"masculputernic.com","15.03.2024",
"123kamagra.sk","15.03.2024",
"onlinelekarna24.com","15.03.2024",
"trueph24.com","15.05.2024",
"primepharm24.com","15.05.2024",
"mobileappkamapro.xyz","15.05.2024",
"chcierekci.store","24.05.2024",
"europillsonline.com","24.05.2024",
"kamagralove.store","24.05.2024",
"kamagra.vip","24.05.2024",
"superkamagra.store","24.05.2024",
"kamagra-webshop.com","24.05.2024",
"kamagra-elite.shop","24.05.2024",
"viagra-kamagra.cz","24.05.2024",
"cenyleku.in","19.06.2024",
"leky-cz.com","19.06.2024",
"kamagra.sk","12.07.2024",
"edpharm24.com","12.07.2024",
"superkamagra.online","30.07.2024",
"kamagralove.online","30.07.2024",
"chcierekci.online","30.07.2024",
"levnakamagra.cz","23.08.2024",
"kamagra.guru","27.08.2024",
"kamagraelite.shop","01.10.2024",
"trusted-online-generic.com","15.10.2024",
"orderrxstore.com","15.10.2024",
"ces-lekarna.com","15.10.2024",
"bluepharm4u.com","15.10.2024",
"red-ph-market.com","15.10.2024",
"acs-pharmacy.com","18.10.2024",
"europe-pharm.net","18.10.2024",
"mojekamagra.cz","06.11.2024",
"ceske-leky.com","06.11.2024",
"koupit-leky.com","06.11.2024",
"qualitypillsservices.com","06.11.2024",
"ka-pharm.com","06.11.2024",
"lekaren-slovenska24.com","06.11.2024",
"slovenskolekaren.com","06.11.2024",
"lekarnapodstrani.com","06.11.2024",
"healthworldwidesupplier.com","12.11.2024",
"slovenska-lekaren.com","12.11.2024",
"viagracialiskamagra.cz","12.11.2024",
"onlinepharmx.com","12.11.2024",
"trustmedz.com","12.11.2024",
"allforyourlife.org","12.11.2024",
"topeuro-shop.com","12.11.2024",
"nejlevnejsikamagra.cz","21.11.2024",
"specialmdassortment.com","26.11.2024",
"trade-shop.online","26.11.2024",
"kamagra-4you.online","26.11.2024",
"koupit-kamagra-viagra.online","26.11.2024",
"kamagrabestellen.eu","26.11.2024",
"lek-na-potenci.com","10.12.2024",
"lekarnaceska24.com","10.12.2024",
"lekarnajedna.com","10.12.2024",
"lekarenslovenska.com","10.12.2024",
"kamagralove.biz","10.12.2024",
"lekarnabezpredpisu.com","10.12.2024",
"specialnalekaren.com","10.12.2024",
"lekaren-slovenska247.com","10.12.2024",
"kamagra-prodej.online","10.12.2024",
"exptablets.com","10.12.2024",
"kmgr.store","19.12.2024",
"onlinepills.phhoaccrx.com","19.12.2024",
"besthealthsup.com","19.12.2024",
"mymedshoplive.com","19.12.2024",
"24-pharm.online","19.12.2024",
"pharm-europe.com","19.12.2024",
"ceska-lekarna.com","19.12.2024",
"nova-lekarna.com","19.12.2024",
"lekarnauzamkubucovice.cz","19.12.2024",
"modafinil.cz","19.12.2024",
"viagra-shop.cz","15.01.2025",
"viagra-kamagra-obchod.cz","15.01.2025",
"lekarnacz247.com","15.01.2025",
"apteka-bezrecepty.com","15.01.2025",
"thetrustpills.com","15.01.2025",
"onlinepharm.to","15.01.2025",
"trustonlinepharmacy.com","15.01.2025",
"trustpharmsonline.com","15.01.2025",
"equi-shop.cz","15.01.2025",
"polska-ed.com","15.01.2025",
"kamagar-pro.online","15.01.2025",
"k-elite.shop","15.01.2025",
"europharmx.com","15.01.2025",
"edpillen24.com","15.01.2025",
"pharmaris.net","15.01.2025",
"kamagraobchod.cz","21.01.2025",
"viagra-original.cz","21.01.2025",
"lekarnapodcvilinem.cz","21.01.2025",
"modvigil.sk","21.01.2025",
"best-pharmacy.to","21.01.2025",
"dinosupplies.to","21.01.2025",
"modvigil.shop","21.01.2025",
"unitedpharmacies-uk.md","21.01.2025",
"generika-original.com","21.01.2025",
"guteapotheke.org","21.01.2025",
"nakupni.cz","05.02.2025",
"erektilnipilulky.net","05.02.2025",
"kamastore.net","05.02.2025",
"1pharm.online","05.02.2025",
"koupit-pilulky.com","05.02.2025",
"securemed.shop","05.02.2025",
"kamashop.org","07.02.2025",
"lekarenslovenska24.com","07.02.2025",
"erektilnipilulky.com","07.02.2025",
"638f474304a2b.site123.me","07.02.2025",
"kamagraonline.sk","07.02.2025",
"bitcoin-pharmacy.com","07.02.2025",
"chcierekci.biz","07.02.2025",
"harderex.com","07.02.2025",
"mojekamagra.org","07.02.2025",
"kamagrashop.sk","14.03.2025",
"europa-apotek.com","14.03.2025",
"lekarnaaqua.cz","14.03.2025",
"lekarna-ceska.cz","14.03.2025",
"kamagra-cz.cz","14.03.2025",
"united-meds.com","14.03.2025",
"euro-modafinil.com","14.03.2025",
"pharmacy-true.com","14.03.2025",
"pharmacy-xl.org","14.03.2025",
"eurorxdrugs.com","14.03.2025",
"canadianokpharmacy.com","14.03.2025",
"ljekarna-osijek.com","14.03.2025",
"apharmacie.com","14.03.2025",
"euro-atarax.com","14.03.2025",
